iter	Passed	Remaining
253	578	1697
254	579	1692
255	580	1688
256	585	1692
257	586	1687
258	588	1682
259	589	1677
260	590	1672
261	592	1668
262	593	1663
263	594	1658
264	596	1654
265	598	1652
266	600	1647
267	601	1642
268	602	1637
269	604	1633
270	606	1632
271	607	1627
272	609	1622
273	613	1625
274	615	1622
275	616	1617
276	618	1613
277	619	1608
278	620	1604
279	622	1599
280	623	1595
281	628	1600
282	629	1595
283	631	1591
284	632	1586
285	633	1582
286	635	1578
287	636	1573
288	637	1569
289	638	1564
290	643	1569
291	645	1564
292	646	1560
293	647	1555
294	649	1551
295	650	1548
296	652	1543
297	653	1538
298	654	1534
299	660	1540
300	661	1536
301	662	1532
302	664	1527
303	665	1523
304	666	1519
305	668	1515
306	669	1511
307	670	1506
308	672	1502
309	673	1498
310	674	1495
311	676	1491
312	677	1487
313	679	1483
314	680	1479
315	681	1475
316	687	1481
317	689	1478
318	690	1474
319	692	1471
320	694	1469
321	696	1465
322	697	1462
323	703	1468
324	705	1465
325	707	1462
326	709	1459
327	710	1456
328	712	1453
329	719	1460
330	720	1456
331	722	1453
332	724	1450
333	726	1447
334	727	1444
335	732	1447
336	734	1444
337	735	1441
338	737	1438
339	739	1436
340	741	1433
341	743	1429
342	750	1437
343	752	1434
344	753	1431
345	755	1428
346	757	1426
347	759	1423
348	764	1425
349	765	1421
350	766	1417
351	767	1413
352	769	1409
353	770	1405
354	771	1401
355	772	1397
356	774	1394
357	778	1396
358	780	1393
359	781	1389
360	782	1385
361	784	1382
362	785	1378
363	787	1375
364	788	1371
365	789	1367
366	793	1369
367	795	1365
368	796	1362
369	797	1358
370	799	1355
371	800	1351
372	801	1347
373	803	1344
374	804	1341
375	809	1343
376	810	1339
377	812	1336
378	813	1332
379	814	1329
380	815	1325
381	817	1322
382	818	1318
383	819	1315
384	824	1316
385	825	1313
386	826	1309
387	828	1306
388	829	1302
389	830	1299
390	831	1295
391	833	1292
392	834	1289
393	835	1285
394	838	1284
395	839	1280
396	841	1277
397	842	1274
398	843	1270
399	844	1267
400	846	1263
401	847	1260
402	850	1260
403	853	1258
404	854	1255
405	856	1252
406	857	1249
407	860	1248
408	861	1244
409	862	1241
410	867	1243
411	871	1244
412	873	1240
413	874	1237
414	875	1234
415	876	1230
416	877	1227
417	879	1224
418	883	1225
419	884	1222
420	886	1218
421	887	1215
422	888	1212
423	889	1208
424	891	1205
425	892	1202
426	893	1198
427	897	1199
428	899	1196
429	900	1193
430	901	1190
431	902	1186
432	903	1183
433	904	1180
434	905	1176
435	907	1173
436	908	1170
437	909	1166
438	910	1164
439	912	1160
440	913	1157
441	914	1154
442	915	1150
443	916	1147
444	917	1144
445	918	1141
446	919	1138
447	921	1134
448	925	1135
449	926	1132
450	927	1129
451	928	1126
452	929	1122
453	931	1119
454	932	1116
